TP_LINGUA;NU_NOTA_MT;NU_NOTA_CH;NU_NOTA_CN;NU_NOTA_LC;NU_CORRETAS_MT;NU_CORRETAS_CH;NU_CORRETAS_CN;NU_CORRETAS_LC;TX_COERENCIA_MT;TX_COERENCIA_CH;TX_COERENCIA_CN;TX_COERENCIA_LC;CO_PROVA_MT;CO_PROVA_CH;CO_PROVA_CN;CO_PROVA_LC
1;445.3;517.3;525.8;521.3;10;18;14;21;000001100100011000000000000010000100000110022;110000111011000000000101000010101100010001112;100010001001100101000011000011001000100002222;000011100110001111101010010101111000101000100;1075.0;1057.0;1085.0;1068.0
0;469.1;421.3;397.4;416.2;14;7;8;11;110000000100010000101010010010100000000101022;000010000110000000100000010000000000100000102;000001000010000100100000010100000000001002222;001011000000000000000000111011001100000000100;1076.0;1055.0;1086.0;1065.0
1;381.9;354.6;433.7;377.8;6;6;10;9;011000000000000100000011000000000000000001022;000000000000001000001000101000100001000000002;000010000000001000100011000010100001000002222;000100011000000001000010001000000001010001000;1075.0;1057.0;1085.0;1068.0
1;385.6;519.9;427.5;514.9;9;18;10;19;010000000010000010001100000100111000000000022;111100001101001100111100001000101010000000002;000110100000100001001010000010010000000002222;001110010100101100000011101000010101110101000;1078.0;1056.0;1087.0;1066.0
0;807.7;631.0;637.8;598.5;29;28;21;27;011010011011010011011111010100111111101101122;101111011101000101101001010111010111011111002;010000010110101010001010000110110111110002222;010101001100001011011101111101101111100110101;1076.0;1055.0;1086.0;1065.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;509.0;612.6;510.4;556.9;12;25;17;23;100010000100010000001010000001010101000000122;010010101001011101010000000111111110101101112;110110111000010010000000011010000011010112222;001101011101110100000011101000110100100101111;1078.0;1056.0;1087.0;1066.0
1;572.2;529.9;407.3;526.4;12;17;7;19;010010000100111000000100000001011001000001022;111010011001000000010000000101000111011101002;010010000100100000001000000000000101000002222;011100011000111100010110100000110000100110100;1078.0;1056.0;1087.0;1066.0
1;450.2;533.0;476.4;431.0;10;18;11;13;000010000100110000011000100000110000001000022;110001010000001000100010100011011010101011002;000011000000110001100000000010010010001002222;010101010000000110100100001100000001000000101;1075.0;1057.0;1085.0;1068.0
0;538.0;572.5;475.3;601.0;12;20;8;28;000001000110000011001000010100000011100100022;111011000001000001100101110101000010011101002;000000000010000000001000000010000010001012222;110000110000011011011111111011111001101100111;1076.0;1055.0;1086.0;1065.0
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;417.3;573.7;524.7;594.6;10;23;13;25;001001001000000001010011010100000000001000022;001101011111011110001100111011000100010001102;000100011010001000001110000100101010001002222;101100101111111001000001011111100011000110011;1077.0;1058.0;1088.0;1067.0
